F1,F2,D,dropout,learning_rate,batch_size,weight_decay,f1_score,precision,recall,val_loss
8,32,8,0.19837321088508153,0.00020870880220776267,256,0.0031313190404923985,0.9653068419991664,0.9617633643495712,0.9691241186164348,0.06784525762001674
16,32,8,0.22287752669536418,0.0001323917965334595,256,0.003941535604360215,0.96770218179888,0.9641627896369277,0.9715157728332481,0.06555240725477536
16,32,8,0.21558863838616082,0.00010843706938031297,256,0.002786347471661268,0.9625065751858205,0.9574928059189586,0.9681430915516293,0.06591716408729553
16,32,8,0.134501553582562,0.000362373846140375,256,0.0025823038062115734,0.9657951465399838,0.955757326237901,0.9768370536784975,0.06514757374922435
16,32,8,0.22950064215671723,0.000151962119105182,256,0.00025842652879347203,0.9650021712451619,0.9590360342896528,0.9713725728041807,0.06346210030217965
16,32,8,0.35281802513767124,0.00012534178698187496,32,0.006255088133426896,0.9718235850324414,0.9731855827423649,0.9706743836077324,0.07001323939640196
8,32,8,0.35444860394488575,9.481061836069519e-05,32,0.0074970107348787595,0.9677604749611,0.9767218859705951,0.9594661461805192,0.07048768524596792
16,32,8,0.3650637346810893,8.70831765343598e-05,32,0.008918115259619198,0.9602727928266739,0.9527217577837849,0.9685620050694982,0.07349531591424475
16,32,8,0.3181965496962345,0.0002360169707564294,32,0.006418668487309296,0.968762090438038,0.969767897008938,0.9678808326288081,0.07006037562488295
32,32,8,0.38935553748256635,7.486867279741827e-05,32,0.005241336657921066,0.9667050917878949,0.9635169884703466,0.9702519079000855,0.0680983696840248
8,32,8,0.3360736439584697,0.0001235099901283453,32,0.0001720130617220759,0.9688622499147151,0.9568508720352348,0.9823015345528145,0.06648398835924403
16,32,8,0.2420871293828398,0.0001736980010986167,32,0.00012479030351678818,0.9698398821147807,0.9638276340967272,0.9762749401315611,0.06593999544941692
16,32,8,0.276404177549481,0.0007852930932768647,128,0.006030777777322273,0.9639142761380888,0.9589016693443733,0.9695501565138592,0.07706923472384612
16,32,8,0.25814031734543813,0.00012884280552182025,256,0.0031415532144085934,0.9694624160448041,0.9681304237334034,0.9709536592863116,0.06543051575620969
16,32,8,0.21699083008237632,3.7577667068091455e-05,32,0.004771582514963943,0.9691694313598501,0.9720909468527456,0.9663305676375105,0.06702303407845371
